|speaker|prev_text|prev_speaker|next_text|next_speaker|en_text|pl_text|dialog_prototype|default
1532|Novigrad Thug Weak 01|D'you get that?|Novigrad Thug Weak 02|Die, you ploughin' bastard!|Novigrad Thug Weak 02|Got it, all right. He threatened us and reached for his weapon.|Słyszałem. Groził i sięgnął po broń.|Dobrze, wszystko jasne. Groził nam i sięgnął po broń.|Zrozumiałem, w porządku. Groził nam i sięgnął po broń.
1533|Novigrad Thug Weak 31|A warlock.|Novigrad Thug Weak 31|Going somewhere, friend?|Novigrad Thug Weak 32|Blooood!|Kreeew!|Krew!|Krew!
1534|Dudu Biberveldt|You've been Menge, now you're Whoreson Junior.|Geralt|||Apparently, you must be a rogue to survive in this city.|Widocznie w tym mieście najłatwiej przeżyć udając bydlaka.|Wygląda na to, że musisz być szelmą, żeby przeżyć w tym mieście.|Wygląda na to, że musisz być złoczyńcą, aby przetrwać w tym mieście.
1535|Eternal Fire Guard 01|Over my dead body.|Geralt|Remember the preacher who spoke of witches and witchers? A man you humiliated before his faithful? He asked that we administer a sacrament on his behalf - your last rites.|Eternal Fire Guard 02|Told you we wouldn't fool him. Well, you're due a beating. It'll just be more of a challenge.|A mówiłem ci, nie nabierze się. No, trudno... I tak się go ubije. Tylko wyzwanie będzie większe.|Powiedziałem ci, że nie uda nam się go oszukać. Cóż, teraz czeka cię lanie. To po prostu będzie większe wyzwanie.|Mówiłem ci, że go nie oszukamy. No cóż, zasłużyłeś na lanie. To po prostu będzie większe wyzwanie.
1536|Novigrad Citizen Man 20|They say some witchers spy for the Black Ones…|Novigrad Citizen Man 19|A whole day wasted.|Novigrad Citizen Man 20|What's that you wanted?|Co chciałeś?|Czego chciałeś?|Czego chciałeś?
1537|Geralt|||||Found a good place for their nest.|Znalazły sobie dobre miejsce na gniazdo.|Znalazłem dobre miejsce na ich gniazdo.|Znaleźli dobre miejsce na swoje gniazdo.
1538|Elf Man 02|Dh'oine or not, death awaits us all.|Elf Man 02|Help…|Elf Man 02|Nooo!|Nieee!|Nieee!|Tak!
1539|Yennefer|This'll come in handy.|Geralt|Sure the guards don't know about the passage through the ruins, haven't planted sentries there?|Geralt|Catch him!|Złap go!|Złap go!|Złap go!
1540|Crach|Something tells me there's a purpose to your hospitality.|Geralt|If that's true, you can rest easy about how the vote'll turn out.|Geralt|Aye, there is. In the Isles, mead and meat stand to gain you as much support as feats accomplished blade in hand.|Ano, nie jest. Na wyspach poparcie zdobywa się nie tylko mieczem, ale też miodem i pieczystym.|Tak, jest tak. Na Wyspach miód i mięso są równie skuteczne w zdobywaniu poparcia, co czyny dokonane mieczem.|Tak, jest takie miejsce. Na Wyspach miód i mięso zapewnią ci równie duże poparcie jak czyny dokonane własnym mieczem.
1541|Geralt|Don't have any food, but maybe this'll help.|Geralt|||Come out! I'm not gonna hurt you.|Możecie wyjść, nic wam nie zrobię.|Wyjdź! Nie zamierzam cię skrzywdzić.|Wyjdź! Nie zrobię ci krzywdy.
1542|Geralt|I thought Aki's ghost would want it back…|Cerys|Long as I remember, folk've said Udalryk's the chosen one, the one the gods speak to.|Cerys|The brother's ghost?|Duch brata?|Duch brata?|Duch brata?
1543|Dijkstra|The bridge must be clear.|Roche|Guards round the temple - what about them? Won't they bloody congregate when they see the fightin'?|Talar|My lads'll make sure of that.|Moi chłopcy się tym zajmą.|Moja drużyna zajmie się tym.|Moje chłopaki się tym zajmą.
1544|Novigrad Nobleman 01|May I join you?|Geralt|Heard Junior comes here sometimes.|Geralt|I've never seen you here before.|Nigdy cię tu nie widziałem.|Nigdy wcześniej cię tu nie widziałem.|Nigdy wcześniej cię tu nie widziałem.
1545|Rosa Var Attre|Aye, but Nilfgaardian ones do… Come to the wrong tavern, birdie. Black Ones aren't welcome here.|Novigrad Drunk 01|||Get your filthy hands off me, you wretch!|Zostaw mnie, brudasie! Łapy przy sobie!|Zabierz swoje brudne łapy, potworze!|Zabierz swoje brudne łapy, ty podły draniu!
1546|Hjalmar|Think everyone'll see it that way?|Geralt|And they all believed in me, laid their trust in me.|Hjalmar|I'm prepared to take responsibility for their deaths. I was in charge of the expedition.|Jestem gotowy wziąć na siebie odpowiedzialność za ich śmierć. To ja zorganizowałem tę wyprawę.|Jestem gotów ponieść odpowiedzialność za ich śmierć. Byłem odpowiedzialny za wyprawę.|Jestem gotów wziąć odpowiedzialność za ich śmierć. Byłem kierownikiem wyprawy.
1547|Scoiatael Dwarf 33|Wait till I push you!|Scoiatael Dwarf 32|Death liberates!|Scoiatael Dwarf 33|Raise your axes!|W górę topory!|Podnieście swoje topory!|Podnieście topory!
1548|Baron Bandit Strong 02|Ou-ou-outta the w-w-way, m-m-maggots! M-m-matko's c-c-comin'!|Baron Bandit Strong 01|Yeeeeh-haaah!|Baron Bandit Strong 02|Faster, Beecher, faster! Got a ripe apple for you when we're through!|Szybciej, Buczek, szybciej! To jabłka potem dostaniesz!|Szybciej, Beecher, szybciej! Mam dla ciebie dojrzałe jabłko, gdy skończymy.|Szybciej, Beecher, szybciej! Będziesz miał dojrzałe jabłko dla ciebie, kiedy skończymy!
1549|Redanian Armorer 01|Show me what you have in stock.|Geralt|Ah! A customer!|Redanian Blacksmith 01|Greetings again! So, you got a job for me, an interesting one?|Witam znowu! To co, masz dla mnie jakieś ciekawe zamówienie?|Witaj ponownie! Więc masz dla mnie pracę, ciekawą?|Cześć ponownie! Więc masz dla mnie pracę, ciekawą?
1550|Dijkstra|Came by 'cause I'm curious.|Geralt|We'll see. Need to know what you expect of me, first.|Geralt|But you will help?|Ale pomożesz nam?|Ale mi pomożesz?|Ale mi pomożesz?
1551|Godling Johnny|Johnny, wake up.|Geralt|Killed a few near your den.|Geralt|What? Who? Oh, witcher. You frightened me. Thought it were those vile hags.|Och! Co? Kto? Wiedźminie, aleś mnie wystraszył. Już myślałem, że to te wstrętne baby.|Co? Kto? Och, czarodzieju. Przestraszyłeś mnie. Myślałem, że to te obrzydliwe wiedźmy.|Co? Kto? Och, wiedźminie. Przestraszyłeś mnie. Myślałem, że to te obrzydliwe wiedźmy.
1552|Graham|More than a restless ghost. A plague maiden, a powerful wraith filled with grief and hatred that drive her, give her the power to sow disease and death.|Geralt|Farewell.|Geralt|She suffers… How am I to help her? Gods know I'm willin'.|Ona cierpi... Jak mogę jej pomóc?|Cierpi... Jak mogę jej pomóc? Na bogów, jestem gotów.|Ona cierpi... Jak mam jej pomóc? Bogowie wiedzą, że jestem chętny.
1553|Celina|Johnny, Johnny, ate a cat, come the morn some fur he shat!|Verden Boy 02|They tells tales and tales. Naught but tales.|Celina|Watch your language!|Jak ty się wyrażasz?|Uważaj na swój język!|Uważaj na język!
1554|Skellige Warrior 05|Don't make me angry.|Skellige Warrior 05|Greetings.|Skellige Warrior 05|Good health to you.|Zdrów pojeżdżaj.|Dobre zdrowie dla ciebie.|Dobre zdrowie dla ciebie.
1555|Triss|Triss? You here too? What's, uh, going on?|Geralt|You two are acting strange…|Geralt|We need to tell you something.|Musimy ci coś powiedzieć.|Musimy ci coś powiedzieć.|Musimy ci coś powiedzieć.
1556|Geralt|Hm? Damn ugly for a doll.|Geralt|An altar. So, the Eternal Fire's made it to Velen.|Geralt|The kind you'd stick with pins to hurt someone.|Wygląda jak laleczka, w którą wbija się szpilki, żeby zrobić komuś krzywdę.|Rodzaj, którym można by ranić kogoś szpilkami.|Rodzaj, który przypina się szpilkami, aby kogoś skrzywdzić.
1557|Eyvind|||Watching for Nilfgaard's fleet?|Geralt|Not now!|Nie teraz!|Nie teraz!|Nie teraz!
1558|Skellige Old Woman 03|Help me! Someone!|Skellige Old Woman 03|Lookin' awful pale…|Skellige Old Woman 03|And a pox upon our foes…|A na wrogów naszych ześlij zarazę...|I niech ich trafi szlag...|I niech diabli porwą naszych wrogów...
1559|Geralt|||||No, it's impossible!|Nie, to niemożliwe...|Nie, to niemożliwe!|No, to niemożliwe!
1560|Geralt|I've never seen you here before.|Novigrad Nobleman 01|Did you, now…? What else have you heard?|Novigrad Nobleman 01|Heard Junior comes here sometimes.|Słyszałem, że można tu spotkać Juniora.|Słyszałem, że Junior czasami tu przychodzi.|Junior Heard czasem tu przychodzi.
1561|Geralt|||||Too late. No one's coming out.|Za późno. Ogień zajął wnętrze. Nikogo już nie ocalę.|Za późno. Nikt nie wychodzi.|Za późno. Nikt nie wychodzi.
1562|Baron|Still not sure what to do.|Geralt|Well? Ready?|Baron|Whatever you decide, we must put an end to my child's suffering.|Cokolwiek postanowisz, niech moje dziecko więcej nie cierpi.|Nieważne co postanowisz, musimy położyć kres cierpieniu mojego dziecka.|Niezależnie od tego, co zdecydujesz, musimy położyć kres cierpieniu mojego dziecka.
1563|Halfling Man 02|Novigrad's full of skinflints. Skinflints riding skinflints to skin other skinflints.|Halfling Man 02|Good day.|Halfling Man 02|What if a halfling became a witcher, eh?|A jakby z niziołka zrobić wiedźmina, ha?|A co by było, gdyby halfling został wiedźminem, co?|A co by się stało, gdyby półelf został wiedźminem, hę?
1564|Holger Blackhand|How'd all of you manage to survive?|Geralt|Shut your gob. You're cluckin' as foolish as a gander hatchin' eggs! We survived because we're the best warriors in Skellige.|Lugos The Mad|What're you sayin'? Eh? That we're the ones schemed this up?|Co chcesz przez to powiedzieć? Co? Że może samiśmy to ukartowali?|Co masz na myśli? Że to my ukartowaliśmy całą tę sprawę?|Co ty mówisz? Eh? Że to my zaplanowaliśmy ten numer?
1565|Von Gratz|Take the ladder.|Von Gratz|Why? Got somewhere to be?|Geralt|This is the place. Come, the quicker we take care of this, the better.|Jesteśmy na miejscu. Chodź, im szybciej się uwiniemy, tym lepiej.|To jest to miejsce. Chodźmy, im szybciej się tym zajmiemy, tym lepiej.|To jest to miejsce. Chodźmy, im szybciej się tym zajmiemy, tym lepiej.
1566|Geralt|||||Damn, something's seriously wrong here…|Cholera, coś tu jest mocno nie tak...|Cholera, coś tu jest poważnie nie tak...|Cholera, coś tu jest poważnie nie tak...
1567|Geralt|||||Giddyup, sheep. Move along, whoo-ah.|Wio, owca. Ruchy, ruchy, owca!|Ruszaj się, owca. Przesuwaj się, hej!|Rusz się, owca. Przesuń się, kto-oh.
1568|Dwarf Man 01|I'm here! Up here!|Dwarf Man 01|||Hear me?! Up here!|Słyszysz mnie?! Tutaj!|Czy mnie słyszysz?! Jestem tutaj!|Słyszysz mnie? Tutaj na górze!
1569|Vesemir|What about Lambert?|Geralt|I certainly hope this gas will work.|Vesemir|Hm, I know exactly how he'll take to bricklaying.|Już go widzę, jak się bierze do murarki.|Wiem dokładnie, jak on podejdzie do układania cegieł.|Hm, wiem dokładnie, jak podejdzie do układania cegieł.
1570|Skellige Villager 01|Verbena, lovage, chamomile!|Skellige Druid 01|Your stomach.|Skellige Druid 01|Chamomile, what's that for?|A rumianek to na co?|Czym jest rumianek?|Melisa, do czego to służy?
1571|Novigrad Poor Man 02|Miracles, my arse! My son's dead, you understand?! Died o' the pox!|Novigrad Drunk 02|For what?! My son's dead, don't you see?! And I prayed till my knees bled…|Novigrad Drunk 02|Quiet, or someone'll hear ye and we'll both be in for it…|Cichaj, bo jeszcze ktoś usłyszy i będziesz miał kłopoty…|Cicho, bo ktoś usłyszy i obaj będziemy mieli kłopoty...|Cicho, bo ktoś usłyszy i oboje będziemy mieli kłopoty...
1572|Yennefer|Really wonder if Crach'll be willing to help…|Geralt|There. Good as new.|Yennefer|He knew Ciri well. She and Hjalmar played together as children.|Znał Ciri. Jako dziecko bawiła się z Hjalmarem.|Dobrze ją znał. Ona i Hjalmar bawili się razem jako dzieci.|Znał dobrze Ciri. Ona i Hjalmar bawili się razem jako dzieci.
1573|Geralt|Greetings. Lookin' to buy?|Skellige Merchant 01|Greetings. Lookin' to buy?|Skellige Merchant 01|So long.|Bywaj.|Tak długo.|Do widzenia.
1574|Mage 01|Ah, sorry.|Mage 01|Someone help me!|Mage 01|Watch out!|Uwaga!|Uważaj!|Uważaj!
1575|Dwarf Man 02|Thanks. Really helpful, that.|Geralt|Oi… Good mates, they were… Gnarled, knotty… Drinkin' mates, loggin' mates, brawlin' mates…|Dwarf Man 02|Kill the bugger, will you?|Zapierdol to świństwo.|Zabij go, co?|Zabij skurwysyna, dobrze?
1576|Baron|Ones who live in Crookback Bog.|Geralt|With Annie… it was love at first sight. A spear tore through my shoulder at the Battle of Anchor, she tended to my wound. Once I'd recovered, I asked her to marry me. She wept with joy.|Baron|Oh, I've heard folk speak of them, but thought it naught but tales to scare the children with.|Jak ludzie o nich gadali, to myślałem, że to tylko bajania...|Ach, słyszałem, jak ludzie o nich mówią, ale myślałem, że to tylko bajki, żeby straszyć dzieci.|Och, słyszałem, jak ludzie o nich mówią, ale myślałem, że to nic innego jak opowieści, by straszyć dzieci.
1577|Dijkstra|||||Geralt, take a gander.|Geralt, zobacz.|Geralt, rzuć okiem.|Geralt, rzuć okiem.
1578|Radovid|They lied. They'd lost over a dozen men by the time I arrived. I gave the crystal to their commander - thought he'd get it to you quicker.|Geralt|You disappoint me, witcher. Apparently, I thought too highly of you.|Radovid|Your word against theirs. And you've no proof.|Słowo przeciwko słowu, nie masz dowodów.|Twoje słowo przeciwko ich słowom. A ty nie masz dowodów.|Twoje słowo przeciwko ich słowom. I nie masz dowodów.
1579|Elf Female 35|Greetings.|Elf Female 35|Waste of words.|Elf Female 35|Set things right, witcher!|Zrób tu porządek, wiedźminie!|Napraw sytuację, czarodzieju!|Napraw sytuację, wiedźminie!
1580|Dijkstra|Arena sounds promising. Where's that?|Geralt|Now, Junior loves a good fight. Wager he'd give a lot to see a real witcher in action.|Dijkstra|Sewers beneath Gildorf, but you'll have to enter through the Bits, endure the stench of poverty on the way.|W kanałach, pod Złotą Dzielnicą, ale wejście jest w kwartale biedoty – na Okrawkach.|Kanały ściekowe pod Gildorfem, ale musisz wejść przez Bity i znieść smród biedy po drodze.|Kanały pod Gildorfem, ale będziesz musiał wejść przez Kęsy, znosząc po drodze smród ubóstwa.
1581|Novigrad Old Woman 01|You jest!|Novigrad Old Woman 01|Eh, I've not the strength.|Novigrad Old Woman 01|Eternal Fire be praised.|Niech będzie pochwalony Wieczny Ogień.|Niechaj wieczny ogień będzie pochwalony.|Ogień wieczny niech będzie pochwalony.
1582|Novigrad Old Woman 16|Eternal Fire…|Novigrad Old Woman 16|Ow. I've such terrible aches…|Novigrad Old Woman 17|The cheek.|Bezczelny.|Policzek.|Policzek.
1583|Mage 01|I swear it, I'll drop magic for good… if I can only bloody get out alive.|Mage 03|Your friend's right. Shouldn't let them intimidate you.|Dijkstra|You can't, you won't. You've got Radovid and the Church against you. They want magic to vanish, us along with it.|Nie możesz. Tego właśnie chce kościół i Radowid. Żeby magia zniknęła, a my razem z nią.|Nie możesz, nie zdołasz. Masz przeciwko sobie Radovida i Kościół. Oni chcą, żeby magia zniknęła, razem z nami.|Nie możesz, nie zdołasz. Masz przeciwko sobie Radovida i Kościół. Oni chcą, by magia zniknęła, razem z nami.
1584|Geralt|I shall explain everything - when the time is right. First, we must finish our preparations.|Yennefer|Firstly, help Eskel and Lambert. One was supposed to get me forktail spinal fluid, the other was to fortify the phylactery with elemental power. I've yet to see anything from either of them.|Yennefer|Fine… What do I do?|No, dobrze. To co mam zrobić?|Dobrze... Co mam robić?|Dobrze... Co mam zrobić?
1585|Geralt|I shall take another look at the wounded, but I'll need to go soon. I'll leave you some medicines.|Ermion|Till we meet again.|Ermion|Go in health, Ermion.|Bywaj w zdrowiu, Myszoworze.|Idź w zdrowiu, Ermion.|Idź w zdrowiu, Ermionie.
1586|Skellige Fisherman 02|||He's alive, all right - and swimmin'.|Skellige Woman 04|Whoo-eey, that's some thunderin'. Think he's still alive?|Ło, ale gruchnął. Myślicie, że żyje?|Uff, ale grzmi! Myślisz, że on nadal żyje?|Och, to jest grzmot! Myślisz, że on wciąż żyje?
