speaker|prev_text|prev_speaker|next_text|next_speaker|en_text|pl_text|dialog_prototype|default
Elf Man 37|Good day.|Elf Man 36|What are you looking at?|Elf Man 37|I wonder if the river's rising.|Ciekawe, czy rzeka przybierze?|Ciekawe, czy rzeka wzbiera.|Zastanawiam się, czy rzeka wzbiera.
Geralt|||||Giddy-up! Haa!|Galop!|Ruszaj się! Ha ha!|Rusz się! Ha!
Cirilla|I knew we'd succeed. From the start.|Cirilla|An oren for your thoughts.|Cirilla|Now to find Eredin and kill him.|Teraz powinniśmy odnaleźć Eredina i zabić go.|Teraz muszę znaleźć Eredina i go zabić.|Teraz znaleźć Eredina i zabić go.
Yennefer|Yes. He was well respected.|Yennefer|Skellige is its clans. In times of war, tradition holds the clans unite under the leadership of their king.|Crach|Unlike his wife.|W przeciwieństwie do jego żony.|W przeciwieństwie do jego żony.|W przeciwieństwie do swojej żony.
Rosa Var Attre|What're two young Nilfgaardian aristocrats doing in Novigrad?|Geralt|Papa's a diplomat. He also has many business dealings in Novigrad. He's a member of the Trade Corporation.|Edna Var Attre|Dying of boredom.|Najczęściej się nudzą.|Umieramy z nudów.|Umieranie z nudów.
Scoiatael Dwarf 32|Most of us don't like humans.|Scoiatael Dwarf 32|What was that?|Scoiatael Dwarf 32|Don't bother me.|Nie przeszkadzaj.|Nie zawracaj mi głowy.|Nie przeszkadzaj mi.
Novigrad Trader 31|Oh, be damned.|Novigrad Trader 31|Yeah?|Novigrad Traveler Man 01|Ha, I believe I see a rainbow.|Ha, chyba widzę tęczę.|Ha, wydaje mi się, że widzę tęczę.|Ha, wydaje mi się, że widzę tęczę.
Geralt|||Aye, I've heard of you.|Skellige Bandit 02|Greetings. You know me?|Witaj. Znasz mnie?|Witaj. Znasz mnie?|Cześć. Znasz mnie?
Yennefer|If we gotta, we gotta. So be it.|Geralt|Better to have some idea where to look than none.|Yennefer|We'd never have known Ciri had returned if not for Emhyr and his agents. We owe him this.|Gdyby nie Emhyr i jego agenci, nie wiedzielibyśmy nawet, że Ciri wróciła... Jesteśmy mu to winni.|Gdyby nie Emhyr i jego agenci, nigdy byśmy się nie dowiedzieli, że Ciri wróciła. Jesteśmy mu za to winni.|Nigdy byśmy się nie dowiedzieli, że Ciri wróciła, gdyby nie Emhyr i jego agenci. Jesteśmy mu to winni.
Skellige Villager 01|Oh, that lighthouse puts me in a right fury… If only it were somethin' different - a troll, a chort, a griffin even!|Skellige Villager 01|But how're we to fight a wraith? No steel will wound it. No armor will protect ye from it!|Skellige Villager 01|We'd call together some lads, grab our swords and cut the beast to pieces!|Skrzyknęłoby się paru chłopa, wzięło miecze i porąbało bestię na kawałki!|Zwołamy paru chłopaków, weźmiemy nasze miecze i posiekamy bestię na kawałki!|Zwołalibyśmy kilku chłopaków, wzięlibyśmy nasze miecze i posiekali bestię na kawałki!
Nilfgaardian Officer 01|Have you lost your mind, man?|Nilfgaardian Officer 01|Huhhhht!|Nilfgaardian Officer 01|Ehh, uh, uhh.|Ech, yh, yyh.|Ech, eee, eee.|Ehh, uh, uhh.
Geralt|The haunted house, you mean? It's hardly cozy, but I wager you've slept in worse conditions.|Cerys|Can't hurt it otherwise.|Geralt|It's not about sleeping. You've gotta draw the hym out. It has to emerge from the shadows, show itself.|Na samym nocowaniu się nie skończy. Trzeba wypłoszyć Hima. Musi wyjść z cienia i pokazać swoją postać.|Nie chodzi o spanie. Musisz ją wywabić. Musi wyjść z cienia, pokazać się.|To nie jest o spaniu. Musisz to narysować. To musi wyjść z cienia, pokazać się.
Geralt|Besides, it's not the myths that are on trial here! It's the thief!|Ermion|Then don't!|Ermion|I'm not about to justify what Yennefer did…|Nie chcę usprawiedliwiać Yennefer...|Nie zamierzam usprawiedliwiać tego, co zrobiła Yennefer...|Nie zamierzam usprawiedliwiać tego, co zrobiła Yennefer...
Dijkstra|Meaning?|Geralt|Come, Geralt, what do you think's happened to him? I reckon he's at the bottom of the Pontar, trussed up with the strings of his own mandolin.|Dijkstra|He's surrounded by splendid virgins who ply him with sparkling wine and pastries stuffed with nightingales' tongues.|Siedzi otoczony hurysami, które karmią go pasztecikami ze słowiczych języków i poją młodym winem.|Otoczony jest przez cudowne dziewice, które częstują go musującym winem i ciastkami nadzianymi językami słowików.|Otoczony jest wspaniałymi dziewicami, które częstują go musującym winem i ciastkami nadziewanymi językami słowików.
Yennefer|Any chance you can figure out where Ciri's companion fled to? His portal's gotta be nearby.|Geralt|||I'll try to find it. Come.|Spróbuję go znaleźć. Chodźmy.|Spróbuję to znaleźć. Chodźmy.|Spróbuję to znaleźć. Chodź.
Celina|Yagna's a stupid pig.|Verden Girl 02|She says when I fall asleep, rats'll come and eat my eyes!|Verden Girl 03|Name-calling's not allowed.|Nie wolno się przezywać.|Wyzwiska nie są dozwolone.|Wywoływanie po imieniu nie jest dozwolone.
Geralt|Before you appeared, it never occurred to me that might've been Yennefer. Who would've have thought…|Mirror|A Nilfgaardian scout from the local garrison saw her.|Mirror|Get to the point.|Do rzeczy.|Przejdź do rzeczy.|Przejdź do sedna sprawy.
Philippa Eilhart|We will assure you knowledge and protection, but you shall be your own rudder, captain and ship.|Philippa Eilhart|We don't expect you to commit now. Think it over, what you've heard, what you feel. We will speak when you're ready.|Margarita Laux Antille|And unlike Avallac'h, we can promise you this.|I w przeciwieństwie do Avallac’ha możemy to obiecać.|I w przeciwieństwie do Avallac'ha, możemy ci to obiecać.|I w przeciwieństwie do Avallac'ha, możemy ci to obiecać.
Skellige Woman 05|Ye daft, woman? What would I say to me mates?|Skellige Warrior 01|This quiet worries me. It's the calm before the storm, I can feel it in me bones.|Skellige Villager 05|Maybe that your wife's with child…?|Że twoja żona jest przy nadziei…|Może że twoja żona jest w ciąży...?|Może że twoja żona jest w ciąży...?
Dwarf Doc|He said it was defeatist to sit and wait to be rescued. We had to take action, or at least he did.|Dwarf Doc|||Claimed to have spotted a lantern out to sea, so he said he'd climb the highest peak to look out for ships.|Widział latarnię i powiedział, że wejdzie na szczyt, by wypatrywać statków.|Twierdził, że widział latarnię daleko na morzu, więc powiedział, że wejdzie na najwyższe wzniesienie, aby wypatrywać statków.|Twierdził, że dostrzegł latarnię daleko na morzu, więc powiedział, że wejdzie na najwyższy szczyt, aby wypatrywać statków.
Geralt|I don't. And I'll kill you willingly. First time for that, in fact.|Verden Scavenger 01|Nooo! Mercy!|Verden Woman 01|This is between the two of you. I refuse to meddle. But cross my path again, and I will kill you.|To sprawa między wami... Nie będę się wtrącał. Ale jeśli jeszcze raz staniesz mi na drodze – zabiję cię.|To jest między wami dwoma. Nie zamierzam się wtrącać. Ale jeśli znów staniesz mi na drodze, zabiję cię.|To jest między wami dwoma. Nie zamierzam się wtrącać. Ale jeśli znów staniesz mi na drodze, zabiję cię.
Geralt|Seems she was planning to grow tissue on precious stones.|Triss|If she pulled it off, she'd only be the second person in the world to do so.|Triss|Makes sense. Found agates covered in blood in her hideout.|To by się zgadzało, w jej kryjówce znalazłem okrwawione agaty.|Znalazłem agaty pokryte krwią w jej kryjówce.|Miało sens. Znalazła agaty pokryte krwią w swojej kryjówce.
Geralt|But whatever cut the basket probably could.|Geralt|Bet it was cut by the same thing that cut the skeleton.|Geralt|Hmm… Something cut this basket exactly in half.|Hmm... Coś przecięło ten kosz równiutko na pół.|Hmm... Coś dokładnie przecięło ten koszyk na pół.|Hmm... Coś przecięło ten koszyk dokładnie na pół.
Geralt|Daddy!|Novigrad Boy 01|||"Vesemir'd say, ""Stay out of it""… But Vesemir's not here."|Vesemir powiedziałby „nie mieszaj się”... Ale go tu nie ma.|"Vesemir powiedziałby ""trzymaj się z daleka"", ale Vesemira tu nie ma."|"Vesemir powiedziałby ""trzymaj się z daleka""... Ale Vesemira tutaj nie ma."
Geralt|||Oh-hoo! That's quite the start, Geralt. What's it you want?|Dijkstra|Recently mentioned you, uh, have something of a soft spot for me. Gotta ask you a favor…|Wspominałeś ostatnio, że masz do mnie słabość. Jest taka sprawa...|Niedawno wspominałeś, że masz do mnie pewną słabość. Muszę cię poprosić o przysługę...|Niedawno wspominałeś, że masz do mnie pewną słabość. Muszę cię poprosić o przysługę...
Geralt|||Ahah!|Keira Metz|This what you're looking for?|To tego szukałaś?|Czy to jest to, czego szukasz?|To jest to, czego szukasz?
Novigrad Rich Man 01|Wondering if I could take part in the races.|Geralt|Decide quickly, please. There's a race about to begin.|Novigrad Rich Man 01|If you've coin for the rider's fee and a steed of your own - why not?|Jeśli stać cię na wpisowe i masz własnego wierzchowca, to czemu nie.|Jeśli masz pieniądze na opłatę dla jeźdźca i własnego rumaka - dlaczego nie?|Jeśli masz monetę na opłatę dla jeźdźca i własnego rumaka - dlaczego nie?
Skellige Old Man 02|There's a lake here on Ard Skellig, near Blandare. A lone hut on its shore. We'll meet there. It's where I tell ye what comes next.|Skellige Old Man 02|||Don't tarry long. Or you'll have me thinkin' you're tryin' to weasel out… and you don't want Simun Brambling to be thinkin' that.|Nie każ na siebie długo czekać. Bo pomyślę, że chcesz się wykręcić... A nie chcesz, żeby Simun Zięba tak pomyślał.|Nie zwlekaj zbyt długo. Bo możesz sprawić, że pomyślę, że próbujesz się wykręcić... a nie chcesz, żeby Simun Brambling tak myślał.|Nie ociągaj się zbytnio. Bo możesz sprawić, że pomyślę, że próbujesz się wymigać... a nie chcesz, żeby Simun Brambling tak myślał.
Geralt|Greetings.|Dudu Biberveldt|Apparently, you must be a rogue to survive in this city.|Dudu Biberveldt|You've been Menge, now you're Whoreson Junior.|Byłeś już Mengem... Teraz jesteś Skurwielem Juniorem.|Teraz jesteś Menge, a teraz jesteś Whoresonem Juniorem.|Byłeś Mengelem, teraz jesteś Whoresonem Juniorem.
Elf Female 02|That's pretty.|Elf Female 02|Which of those swords is for humans?|Elf Female 02|Why do you stare at me?|Co tak się gapisz?|Dlaczego się na mnie gapisz?|Dlaczego się na mnie gapisz?
Geralt|Or wants us to think she did.|Triss|Too long. How's the guest room? Anything changed?|Triss|Haven't been here in a while, have you?|Długo cię tu nie było, co?|Nie było cię tu od jakiegoś czasu, prawda?|Dawno tu nie byłem, a ty?
Geralt|Very well, speak. But be quick. Reverend Nathaniel has come by for an inspection. He'll be here shortly.|Coroner|Unfortunate. Such individuals are hardest to catch…|Von Gratz|No motive to speak of. Murderer's mad, plain and simple.|Morderca jest szaleńcem. Nie ma motywu.|Nie ma żadnego motywu. Morderca jest po prostu szalony.|Brak motywu, o którym warto byłoby mówić. Morderca jest po prostu szalony.
Folan|Can you walk?|Geralt|||Argh. Aye, I'll manage.|Tak, dam sobie radę...|Ach. Tak, poradzę sobie.|Argh. Tak, poradzę sobie.
Geralt|It ain't legend, and it ain't nonsense. My granddad would go to Undvik for his armor, said Tordarroch folk made the best. Till last year, that is, when a giant ravaged their island. Inhabitants either ran off or died, but the forge should still be in one piece.|Blacksmith Woman|Ahem. On condition you bring the tools. But only then.|Fergus Graem|Worth looking into. Say I find the tools, will you craft the armor for me?|Warto to sprawdzić. Jeśli znajdę te narzędzia, zrobicie mi pancerz?|Warto sprawdzić. Jeśli znajdę narzędzia, czy stworzysz dla mnie zbroję?|Warto się temu przyjrzeć. Powiedz, jeśli znajdziesz narzędzia, czy stworzysz dla mnie zbroję?
Geralt|And it proved true - at first I thought him a bloated, narcissistic buffoon.|Priscilla|Well, only cows don't change their minds. I changed mine when he came to congratulate me. Never expected he could lose so graciously.|Priscilla|Just at first?|Tylko w pierwszej chwili?|Tylko na początku?|Tylko na początku?
Skellige Boatbuilder 03|… and ugly as a sea devil.|Skellige Boatbuilder 02|Go on, butcher a poor old boatwright.|Skellige Boatbuilder 03|Knew right off the gods favor you.|Od razu znać, że jesteś ulubieńcem bogów.|Wiedziałem od razu, że to boskie przeznaczenie cię spotkało.|Wiedziałem od razu, że to sprzyjająca okoliczność.
Avallach|Did Eredin start hunting her because of that? Because of me? Why didn't she say anything?|Geralt|Doesn't look safe here, either. Let's go.|Geralt|Ugh. What would it have changed?|A co by to zmieniło?|Eh. Co by to zmieniło?|Ech. Co by to zmieniło?
Folan|||||Herrik Stormson. Didn't even know him well.|Herrik syn Storma. Nawet go dobrze nie znałem.|Herrik Stormson. Nawet go dobrze nie znałem.|Herrik Stormson. Nawet go dobrze nie znałem.
Priscilla|By ire ever growing, hardening into stone. Amidst the cold to hold you in a heated embrace|Priscilla|To dream of raven locks entwisted, stormy|Priscilla|You flee my dream come the morning. Your scent - berries tart, lilac sweet|Z moich snów uciekasz nad ranem, cierpka jak agrest słodka jak bez.|Uciekasz od moich marzeń każdego ranka. Twój zapach - kwaśne jagody, słodki bez|Uciekasz z mojego snu o poranku. Twój zapach - malin gorzki, bez słodki
Avallach|Don't stare, help me.|Avallach|||Help us both.|Mi... I jej.|Pomóż nam obojgu.|Pomóż nam obojgu.
Eskel|I trust Yen. She knows what she's doing.|Geralt|Gentlemen, the floor's as clean as it'll ever be, and I need to be wiped down as well.|Yennefer|Don't doubt that. But do we know what she's doing? She tell you how likely this is to work?|To na pewno... Ale czy my wiemy to, co ona? Mówiła ci, jaka jest szansa, że to się uda?|Nie wątp w to. Ale czy wiemy, co ona robi? Czy powiedziała ci, jak prawdopodobne jest, że to zadziała?|Nie wątp w to. Ale czy wiemy, co ona robi? Czy powiedziała ci, jak prawdopodobne jest, że to zadziała?
Novigrad Thug Strong 01|I'm new here.|Geralt|Cleaver happened to him.|Geralt|Yeah? What happened to Norbert?|A co się przytrafiło Norbertowi?|Tak? Co stało się z Norbertem?|Tak? Co się stało z Norbertem?
Geralt|I mind fools. No matter where they're from.|Jorund|Jorund, son of Sigvald. If you've no one to drink with, sit down with me. Share some mead and a tale.|Jorund|Geralt of Rivia. Witcher.|Geralt z Rivii. Wiedźmin.|Geralt z Rivii. Wiedźmin.|Geralt z Rivii. Wiedźmin.
Redanian Soldier 04|Come, we don't need a pass, we're from Novigrad, eight generations and more! The war caught us in Vizima, business, you know, but…|Novigrad Traveler Man 04|Please, have mercy! Don't turn us back to Velen! You don't know what it's like there!|Novigrad Traveler Woman 04|No pass, no passage.|Bez glejtu nie puszczę.|Nie ma przejścia, nie ma paszportu.|Bez przepustki, bez przejścia.
Verden Old Man 03|After what ye done for us, you got a friend in me. Always.|Verden Old Man 03|Ehh, witcher, if not for you…|Verden Old Woman 01|How 'bout stayin' on here for good, witcher?|Wiedźminie, może zostaniesz u nas na stałe?|Co powiesz na pozostanie tutaj na stałe, czarodzieju?|A co powiesz na to, żeby zostać tu na dobre, wiedźminie?
Skellige Bard 01|May the gods watch over you.|Skellige Bard 01|Hemdall! The famous White Wolf!|Skellige Bard 01|Aaaye?|Taaak?|Ach, tak?|Ach, tak?
Geralt|||||Still might be worth looking at those graves…|Warto tak czy inaczej obejrzeć te groby.|Może jednak warto rzucić okiem na te groby...|Może wciąż warto spojrzeć na te groby...
Yennefer|So… later, then?|Geralt|||Mmh. See you later.|No, na razie.|Mhm. Do zobaczenia później.|Mmh. Do zobaczenia później.
Novigrad Thug Strong 01|Geralt, what do we do?|Hattori|Leg it! This way.|Novigrad Thug Strong 01|Quick, shut the gate. There could be more of 'em.|Szybko, zamknijcie bramę. Może ich być więcej.|Szybko, zamknij bramę. Mogą być inni.|Szybko, zamknij bramę. Mogą być inni.
Geralt|Decide quickly, please. There's a race about to begin.|Novigrad Rich Man 01|Grand. Your name and the name of your steed?|Novigrad Rich Man 01|I wanna race.|Chcę się ścigać.|Chcę wziąć udział w wyścigu.|Chcę się ścigać.
